00003.jpg;742;443;765;466;1
aug000003.jpg;588;434;613;459;1
00003.jpg;742;466;764;489;1
aug000003.jpg;587;457;611;482;1
00004.jpg;906;407;955;459;1
aug000004.jpg;906;407;955;459;1
00005.jpg;1172;164;1284;278;1
aug000005.jpg;75;164;187;278;1
00006.jpg;926;350;989;414;1
aug000006.jpg;923;370;992;439;1
00007.jpg;825;406;864;445;1
aug000007.jpg;825;406;864;445;1
00009.jpg;925;466;949;490;1
aug000009.jpg;925;466;949;490;1
00012.jpg;979;364;1034;418;1
aug000012.jpg;976;386;1035;444;1
00013.jpg;1043;281;1120;356;1
aug000013.jpg;1043;281;1120;356;1
00018.jpg;950;455;981;486;1
aug000018.jpg;953;434;986;467;1
00023.jpg;998;292;1074;371;1
aug000023.jpg;998;292;1074;371;1
00027.jpg;102;375;157;430;1
aug000027.jpg;101;378;157;434;1
00029.jpg;1091;393;1133;436;1
aug000029.jpg;1091;393;1133;436;1
00053.jpg;1156;333;1196;372;1
aug000053.jpg;164;315;205;355;1
00054.jpg;1117;473;1146;502;1
aug000054.jpg;1117;473;1146;502;1
00057.jpg;990;418;1036;467;1
aug000057.jpg;990;418;1036;467;1
00060.jpg;819;441;842;464;1
aug000060.jpg;819;441;842;464;1
00061.jpg;1224;333;1285;394;1
aug000061.jpg;74;319;136;382;1
00063.jpg;815;499;837;521;1
aug000063.jpg;815;499;837;521;1
00065.jpg;973;377;1022;427;1
aug000065.jpg;337;377;386;427;1
00067.jpg;949;435;979;465;1
aug000067.jpg;376;413;408;445;1
00071.jpg;794;474;822;502;1
aug000071.jpg;797;465;827;495;1
00071.jpg;794;503;821;529;1
aug000071.jpg;799;494;828;522;1
00073.jpg;727;457;748;477;1
aug000073.jpg;727;457;748;477;1
00073.jpg;727;476;749;497;1
aug000073.jpg;727;476;749;497;1
00073.jpg;430;453;452;475;1
aug000073.jpg;430;453;452;475;1
00075.jpg;1131;409;1179;456;1
aug000075.jpg;1131;409;1179;456;1
00077.jpg;962;408;1011;455;1
aug000077.jpg;348;420;399;469;1
00080.jpg;829;381;880;432;1
aug000080.jpg;829;381;880;432;1
00085.jpg;846;429;875;458;1
aug000085.jpg;837;449;869;481;1
00088.jpg;956;464;982;490;1
aug000088.jpg;956;464;982;490;1
00088.jpg;410;464;436;490;1
aug000088.jpg;410;464;436;490;1
00088.jpg;956;440;981;464;1
aug000088.jpg;956;440;981;464;1
00089.jpg;1025;438;1054;468;1
aug000089.jpg;1025;438;1054;468;1
00089.jpg;634;447;660;474;1
aug000089.jpg;634;447;660;474;1
00093.jpg;1076;339;1119;389;1
aug000093.jpg;1076;351;1120;402;1
00094.jpg;946;370;995;419;1
aug000094.jpg;946;370;995;419;1
00094.jpg;113;316;189;392;1
aug000094.jpg;113;316;189;392;1
00095.jpg;698;461;719;481;1
aug000095.jpg;703;457;726;478;1
00101.jpg;835;406;891;461;1
aug000101.jpg;831;414;890;472;1
00107.jpg;490;536;529;576;1
aug000107.jpg;490;536;529;576;1
00109.jpg;990;484;1020;513;1
aug000109.jpg;990;484;1020;513;1
00110.jpg;929;489;954;513;1
aug000110.jpg;405;489;430;513;1
00111.jpg;350;503;382;535;1
aug000111.jpg;350;503;382;535;1
00112.jpg;366;473;399;508;1
aug000112.jpg;354;432;391;471;1
00113.jpg;351;413;419;480;1
aug000113.jpg;351;413;419;480;1
00114.jpg;1169;421;1231;484;1
aug000114.jpg;128;421;190;484;1
00120.jpg;58;243;164;345;1
aug000120.jpg;67;177;183;290;1
00121.jpg;91;308;185;416;1
aug000121.jpg;91;308;185;416;1
00122.jpg;500;496;521;518;1
aug000122.jpg;832;502;854;525;1
00122.jpg;883;498;904;520;1
aug000122.jpg;450;488;471;511;1
00123.jpg;519;492;550;524;1
aug000123.jpg;519;492;550;524;1
00124.jpg;532;481;558;507;1
aug000124.jpg;532;481;558;507;1
00124.jpg;976;470;1002;496;1
aug000124.jpg;976;470;1002;496;1
00125.jpg;1019;313;1106;401;1
aug000125.jpg;1019;313;1106;401;1
00126.jpg;840;374;868;404;1
aug000126.jpg;840;374;868;404;1
00127.jpg;138;385;175;423;1
aug000127.jpg;138;385;175;423;1
00127.jpg;1009;380;1046;417;1
aug000127.jpg;1009;380;1046;417;1
00130.jpg;209;426;236;453;1
aug000130.jpg;209;426;236;453;1
00130.jpg;601;431;626;456;1
aug000130.jpg;601;431;626;456;1
00131.jpg;474;389;500;415;1
aug000131.jpg;473;400;501;428;1
00134.jpg;1008;299;1073;365;1
aug000134.jpg;1009;320;1078;390;1
00135.jpg;718;298;777;356;1
aug000135.jpg;718;298;777;356;1
00138.jpg;157;179;235;268;1
aug000138.jpg;157;179;235;268;1
00138.jpg;1302;399;1336;432;1
aug000138.jpg;1302;399;1336;432;1
